cluster_name,recency_mean,recency_median,frequency_mean,frequency_median,monetary_mean,monetary_median,nb_clients,pct_client
01-Champions,1.4644346256767689,0.0,201.4244819217126,162.0,5872445.016660439,3704047.81,16069,6.24
02-Loyaux Premium,1.653061224489796,0.0,326.3469387755102,236.0,25085918.112040818,19745711.0,49,0.02
03-Grands Dépensiers,1.9811320754716981,0.0,160.50943396226415,137.0,20084456.49436415,13148709.09,53,0.02
04-Fidèles Modérés,4.9227496727496725,2.0,49.46973896973897,43.0,803760.4103874029,472506.2,51948,20.16
05-Clients Potentiels,12.009942438513868,3.0,98.84929356357928,46.0,24564867.27724778,19374888.72,1911,0.74
06-Moyens Actifs,13.348632919732074,5.0,32.553969474030964,23.0,4843388.616541156,3273583.2399999998,9107,3.53
07-En Risque,14.581920903954803,5.0,52.17231638418079,21.0,4906927.150028248,2474750.09,354,0.14
08-À Réactiver,28.574990621147972,20.0,10.074910230987728,6.0,104474.60282860104,22408.405,74636,28.97
09-Dormants,29.15793513962473,22.0,9.942388281338484,8.0,85245.65921782012,27467.090000000004,79463,30.84
10-Perdus,46.250425894378196,46.0,1.6073046079694187,1.0,8803.797755523747,643.02,24067,9.34
